BD+062932        2  5272.00   4.43   0.06  -0.84  0.626161762E+01  0.849615601E+00  0.139744638E+07  0.100993505E+07  0.169054643E+07  0.162942399E+07  0.164128375E+07  0.164812023E+07  0.164976477E+07  0.164399195E+07  0.166653478E+07  0.168201246E+07  0.169015900E+07  0.169212757E+07  0.168500460E+07  0.171138820E+07  0.172867981E+07  0.173683815E+07  0.173613042E+07
BD+063077        3  6136.00   4.95   1.07  -0.36  0.385696125E+02  0.482754094E+00  0.191537670E+06  0.901229303E+05  0.221841585E+06  0.215116167E+06  0.215828203E+06  0.216108053E+06  0.215837750E+06  0.214879911E+06  0.216638687E+06  0.217721425E+06  0.218238548E+06  0.218127424E+06  0.217119804E+06  0.219514966E+06  0.221298301E+06  0.222097170E+06  0.222213165E+06
BD+083095        4  5728.00   4.12   0.85  -0.77  0.186706290E+02  0.595552665E+00  0.131175425E+07  0.782044412E+06  0.116874111E+07  0.115556793E+07  0.116084810E+07  0.116278187E+07  0.116125575E+07  0.115497354E+07  0.116730845E+07  0.117444534E+07  0.117721472E+07  0.117585230E+07  0.116919152E+07  0.118410545E+07  0.119343932E+07  0.119679581E+07  0.119427852E+07
BD-002387        5  4833.00   4.47   0.85   0.03  0.649295986E+01  0.298493777E+01  0.676246962E+06  0.478967849E+06  0.252898240E+07  0.243025908E+07  0.243319660E+07  0.243841525E+07  0.244752508E+07  0.245926484E+07  0.247063025E+07  0.248266634E+07  0.249726617E+07  0.251489496E+07  0.253568147E+07  0.256072391E+07  0.258448320E+07  0.260903576E+07  0.263536661E+07
BD-010184        6  4728.00   4.34   0.40  -0.34  0.430629123E+01  0.227121765E+01  0.530799362E+06  0.421799649E+06  0.150058256E+07  0.144649095E+07  0.145008191E+07  0.145454770E+07  0.146080097E+07  0.146839719E+07  0.147799832E+07  0.148670270E+07  0.149646729E+07  0.150705569E+07  0.151828315E+07  0.153320332E+07  0.154538662E+07  0.155633501E+07  0.156698098E+07
BD-012505        7  4741.00   4.51   0.44  -0.11  0.254187907E+01  0.261883689E+01  0.464452561E+07  0.468188860E+07  0.156274751E+08  0.146589271E+08  0.147024884E+08  0.147647944E+08  0.148495655E+08  0.149578025E+08  0.150680637E+08  0.151751005E+08  0.153008510E+08  0.154439689E+08  0.156054254E+08  0.157971281E+08  0.159720840E+08  0.161442421E+08  0.163224976E+08
BD-033746        8  4732.00   4.63   0.15  -0.90  0.500487600E+01  0.111429796E+01  0.133577972E+07  0.983280595E+06  0.229325292E+07  0.227146932E+07  0.227661037E+07  0.227811711E+07  0.227747230E+07  0.227183494E+07  0.228486062E+07  0.229133976E+07  0.229387806E+07  0.229078946E+07  0.228191258E+07  0.229223516E+07  0.229212961E+07  0.228442392E+07  0.226859115E+07
BD-034797        9  4622.00   4.21   0.30   0.06  0.483847161E+01  0.288022822E+01  0.621355416E+06  0.494871696E+06  0.229412959E+07  0.218379383E+07  0.219383395E+07  0.220782945E+07  0.222647250E+07  0.225042375E+07  0.227073244E+07  0.229193327E+07  0.231614725E+07  0.234438763E+07  0.237773725E+07  0.240775182E+07  0.243516038E+07  0.246275606E+07  0.249304954E+07
BD-044138       10  4604.00   4.39   0.38  -0.11  0.372174162E+01  0.197255062E+01  0.126697479E+07  0.105412520E+07  0.437409994E+07  0.413044579E+07  0.414426837E+07  0.416496037E+07  0.419475102E+07  0.423326281E+07  0.426428870E+07  0.429698058E+07  0.433439751E+07  0.437890979E+07  0.443101062E+07  0.447134323E+07  0.450558191E+07  0.454007558E+07  0.457569068E+07
BD-050484       11  4674.00   4.42   0.21  -0.39  0.474864006E+01  0.208738656E+01  0.112412386E+07  0.851068501E+06  0.310823052E+07  0.296402842E+07  0.297309220E+07  0.298477578E+07  0.300031491E+07  0.301853858E+07  0.303993825E+07  0.306048300E+07  0.308082490E+07  0.310385953E+07  0.312752699E+07  0.315340826E+07  0.317225704E+07  0.318806320E+07  0.320173699E+07
BD-050578       12  5470.00   4.39   0.79   0.09  0.444151858E+01  0.245967820E+01  0.694026924E+06  0.566461684E+06  0.200326979E+07  0.191979127E+07  0.192986727E+07  0.193776370E+07  0.194334043E+07  0.194597635E+07  0.196449746E+07  0.198006415E+07  0.199326994E+07  0.200432754E+07  0.201171603E+07  0.203951721E+07  0.206337932E+07  0.208431583E+07  0.210208778E+07
BD-053176       13  4758.00   4.39   0.82  -0.09  0.330466608E+01  0.271091048E+01  0.186991385E+07  0.172821618E+07  0.657312148E+07  0.638627483E+07  0.638812289E+07  0.639922785E+07  0.641996197E+07  0.645090054E+07  0.647355223E+07  0.650054529E+07  0.653442799E+07  0.657861755E+07  0.662946185E+07  0.668726936E+07  0.674145543E+07  0.679708189E+07  0.685679469E+07
BD-053596       14  4594.00   4.32   0.27  -0.34  0.357161067E+01  0.212773898E+01  0.888931412E+06  0.757493078E+06  0.260541281E+07  0.250044011E+07  0.250774655E+07  0.251820546E+07  0.253284786E+07  0.255213108E+07  0.256845588E+07  0.258395692E+07  0.260240328E+07  0.262227056E+07  0.264528198E+07  0.265957043E+07  0.266817155E+07  0.267494810E+07  0.268074438E+07
BD-054065       15  4895.00   4.41   0.42  -0.29  0.646528165E+01  0.218121663E+01  0.768457841E+06  0.520775662E+06  0.211646534E+07  0.202318969E+07  0.203023714E+07  0.203807661E+07  0.204685819E+07  0.205497359E+07  0.207090057E+07  0.208555262E+07  0.210021488E+07  0.211504204E+07  0.212956988E+07  0.215545508E+07  0.217802709E+07  0.219819114E+07  0.221667187E+07
BD-060904       16  5066.00   4.46   0.46  -0.17  0.390079880E+01  0.231073674E+01  0.152233124E+07  0.127223057E+07  0.426365747E+07  0.404517125E+07  0.406366863E+07  0.408125711E+07  0.409916307E+07  0.411456738E+07  0.415041504E+07  0.418455933E+07  0.421637066E+07  0.424712938E+07  0.427485726E+07  0.433412139E+07  0.438634283E+07  0.443300754E+07  0.447549081E+07
BD-063481       17  4815.00   4.36   0.41  -0.14  0.282012717E+01  0.256395185E+01  0.357065902E+07  0.344876532E+07  0.112577650E+08  0.107267331E+08  0.107629104E+08  0.108089299E+08  0.108682774E+08  0.109385089E+08  0.110234266E+08  0.111083461E+08  0.111983234E+08  0.113000432E+08  0.114100106E+08  0.115568417E+08  0.116890639E+08  0.118192180E+08  0.119478982E+08
